Filename	Name in catalogue	Original title	Transliterated title	Type	Subtype	Subsubtype	Year	Collector	Performer	Number of voices	Performer gender or age	Audio recording	Archive reference	Additional remarks	Place	Contemporary_address	Latitude	Longitude	Address translated	Original metadata
Kmeln_ballads_442_Vohdai, po tim botsi	04-БК-02	Вогдай, по тім боці	Vohdai, po tim botsi	Non-ritual	Ballad	БК	1927	Харків Володимир	"Милянович Стефан, Корчинський Василь, Левицький 
Микола"	2 voices	men		ІМФЕ, ф. 6-3, од. зб. 77, текст – арк. 75-76 (64), мел. – арк. 77 (65), № 48. Чeрнетка, текст і мелодія відновлені.		"с. Гаврилівці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.)"	с. Гаврилівці нині Кам’янець-По-дільського р-ну Хмельницької обл.	48.56523929999999	26.5156434	Havrylivtsi, Khmelnytskyi Oblast, Ukraine, 32367	"Зап. 1927 р. Харків В. у с. Гаврилівці Жванецького р-ну Кам’янецької окр. (нині Кам’янець-По-
дільського р-ну Хмельницької обл.) від Миляновича Стефана, Корчинського Василя, Левицького 
Миколи. – ІМФЕ, ф. 6-3, од. зб. 77, текст – арк. 75-76 (64), мел. – арк. 77 (65), № 48. Чeрнетка, 
текст і мелодія відновлені."
Kmeln_ballads_444_Oi ziidy, ziidy	БК-03	Ой зійди, зійди	Oi ziidy, ziidy	Non-ritual	Ballad	БК	1954		"мішаний гурт
"	2 voices	mixed group	"плівка ф. 14-10, од. зб. 
340"	"ІМФЕ, ф. 14-5, од.зб. 171, арк. 33, № 7; плівка ф. 14-10, од. зб. 
340. Розш. Стьожка О. у січні1955 р."		с. Требухівці Летичівського р-ну Хмельницької обл.	с. Требухівці Летичівського р-ну Хмельницької обл.	49.43091829999999	27.4139602	Trebukhivtsi, Khmelnytskyi Oblast, Ukraine, 31532	"Зап. 1954 р. експ. ІМФЕ у с. Требухівці Летичівського р-ну Хмельницької обл. від мішаного гурту. 
З слів Спори Ликері. (Прим. зап.). – ІМФЕ, ф. 14-5, од.зб. 171, арк. 33, № 7; плівка ф. 14-10, од. зб. 
340. Розш. Стьожка О. у січні1955 р. Вар. зап. 1937 р. Гайдай М. П. у с. Галузинці Деражнянсько-
го р-ну Хмельницької обл. від Ганни Єфрем. Яковлевої, 45 р., Віри Доротеєвої Яковлевої, 15 р. – 
ІМФЕ, ф. 8-3, од. зб. 182, арк. 144."
Kmeln_ballads_444_v_Oi ziidy, ziidy	04-БК-03	Ой зійди, зійди	Oi ziidy, ziidy	Non-ritual	Ballad	БК	1937	Гайдай Михайло	Яковлева Ганна 45 р., Яковлева Віра 15 р.	2 voices	women		ІМФЕ, ф. 8-3, од. зб. 182, арк. 144.		с. Галузинці Деражнянсько- го р-ну Хмельницької обл.	с. Галузинці Деражнянсько- го р-ну Хмельницької обл.	49.1671504	27.550198	Haluzyntsi, Khmelnytskyi Oblast, Ukraine, 32226	"Зап. 1954 р. експ. ІМФЕ у с. Требухівці Летичівського р-ну Хмельницької обл. від мішаного гурту. 
З слів Спори Ликері. (Прим. зап.). – ІМФЕ, ф. 14-5, од.зб. 171, арк. 33, № 7; плівка ф. 14-10, од. зб. 
340. Розш. Стьожка О. у січні1955 р. Вар. зап. 1937 р. Гайдай М. П. у с. Галузинці Деражнянсько-
го р-ну Хмельницької обл. від Ганни Єфрем. Яковлевої, 45 р., Віри Доротеєвої Яковлевої, 15 р. – 
ІМФЕ, ф. 8-3, од. зб. 182, арк. 144."
Kmeln_ballads_445_Oi de zh zhe ty nochuvav	04-БК-05	Ой де ж же ти ночував	Oi de zh zhe ty nochuvav	Non-ritual	Ballad	БК	1918	Постоловський А.	-	unison			ІМФЕ, ф. 6-4, од.зб. 119,арк. 54-55, № 30.		с.Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл.	с. Чорнокозинці Кам'янець-Подільського р-ну Хмельницької обл.	48.6614951	26.2830553	Chornokozyntsi, Khmelnytskyi Oblast, Ukraine, 32336	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам’янець-Подільського р-ну Хмельницької обл. 
– ІМФЕ, ф. 6-4, од.зб. 119,арк. 54-55, № 30. "
Kmeln_ballads_446_Oi chyie zh to pole	04-БК-05	Ой чиє ж то поле	Oi chyie zh to pole	Non-ritual	Ballad	БК	1928	Харків Володимир	Мехтодій Ткачук	2 voices	man		"ІМФЕ, ф. 6-3, од. зб. 81, арк. 78 (91) (текст), 
арк. 79 (92) (мел.) № 4. Чeрнетка."		"с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.)"	с. Борсуки Новоушицького р-ну Хмельницької обл.	48.7148106	27.1714658	Borsuky, Khmelnytskyi Oblast, Ukraine, 32642	"Зап. [1928 р.] Харків В. Й. у с. Борсуки Староушицького р-ну Кам’янецької окр. (нині Новоушиць-
кого р-ну Хмельницької обл.) від Мехтодія Ткачука. – ІМФЕ, ф. 6-3, од. зб. 81, арк. 78 (91) (текст), 
арк. 79 (92) (мел.) № 4. Чeрнетка."
Kmeln_ballads_447_Oi chyie zh to voly	04-БК-05	Ой чиї ж то воли	Oi chyie zh to voly	Non-ritual	Ballad	БК	1978	Дем’ян Григорій	Буймистер Ганна Сергіївна, 1929 р. н., Буймистер Ганна Іванівна, 1929 р. н., Буймистер Ганна Петрівна, 1930 р. н., Гаврищук Ольга Петрівна, 1933 р. н., Данилюк Наталія Василівна, 1924 р. н.	heterophony	group of women		ІМФЕ, ф. 14-3, од.зб. 973, арк. 64 (текст), арк. 233 (мел.), № 45. Нотація Мишанича М. В.		с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.	с. Студениця Кам’янець-Подільського р-ну Хмельницькоїобл.	48.74781810411996	26.90168393057352	Studenytsya River, Khmelnytskyi Oblast, Ukraine	"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Буймистер Ганни Сергіївни, 1929 р. н.,  Буймистер Ганни Іванівни, 1929 р. н.,  Буймистер Ган-
ни Петрівни, 1930 р. н.,  Гаврищук Ольги Петрівни, 1933 р. н. і Данилюк  Наталії Василівни, 1924 
р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 64 (текст), арк. 233 (мел.), № 45. Нотація Мишанича М. В."
Kmeln_ballads_449_Oi na hori zhyto	04-БК-05а	Ой на горі жито	Oi na hori zhyto	Non-ritual	Ballad	БК	1978	Дем’ян Григорій	Мазур Ольга Федорівна, 1924 р. н.	unison	woman		"ІМФЕ, ф. 14-3, од.зб. 973, арк. 62 (текст), арк. 233 (мел.), 
№ 43. Нотація Мишанича М. В."		с. Студениця Кам’янець-Подільського р-ну Хмельницької обл.	с. Студениця Кам’янець-Подільського р-ну Хмельницькоїобл.	48.74781810411996	26.90168393057352	Studenytsya River, Khmelnytskyi Oblast, Ukraine	"Зап. 19 липня 1978 р. Дем’ян Г. В. у с. Студениця Кам’янець-Подільського р-ну Хмельницької обл. 
від Мазур Ольги Федорівни, 1924 р. н. – ІМФЕ, ф. 14-3, од.зб. 973, арк. 62 (текст), арк. 233 (мел.), 
№ 43. Нотація Мишанича М. В."
Kmeln_ballads_450_Oi u misti Rusalymi	04-БК-06	Ой у місті Русалимі	Oi u misti Rusalymi	Non-ritual	Ballad	БК	1918	Постоловський А.	-	unison			"ІМФЕ, ф. 6-4, од. 
зб. 119, арк. 95, № 63."		с.Чорнокозинці Кам'янець-Подільського р-ну	с.Чорнокозинці Кам’янець-Подільського р-ну	48.6614951	26.2830553	Chornokozyntsi, Khmelnytskyi Oblast, Ukraine, 32336	"Зап. 1918 р. Постоловський А. у с. Чорнокозинці Кам'янець-Подільського р-ну. ІМФЕ, ф. 6-4, од. 
зб. 119, арк. 95, № 63."
Kmeln_ballads_451_Khodyt Ivan ponad Dunai	04-БК-06	Ходить Іван понад Дунай	Khodyt Ivan ponad Dunai	Non-ritual	Ballad	БК	-	Лисенко Микола	Лободовський М.	unison	man		"ІМФЕ, ф. 24-5, од. зб. 32, арк. 6 (мел.); од. 
зб. 77, арк. 14-15, № 3"	 (текст надіслано М. Лисенкові М. Лободовським)	"с. Гаврилівці Кам’янецького пов. Подольської губ. (нині Кам’янець-Поділь-
ського р-ну Хмельницької обл."	с. Гаврилівці Кам’янець-Подільського р-ну Хмельницької обл.	48.56523929999999	26.5156434	Havrylivtsi, Khmelnytskyi Oblast, Ukraine, 32367	"Зап. Лисенко Микола у с. Гаврилівці Кам’янецького пов. Подольської губ. (нині Кам’янець-Поділь-
ського р-ну Хмельницької обл. від [Лободовського]. – ІМФЕ, ф. 24-5, од. зб. 32, арк. 6 (мел.); од. 
зб. 77, арк. 14-15, № 3"
Kmeln_ballads_452_Nastupaie chorna khmara	04-БК-06	Наступає чорна хмара	Nastupaie chorna khmara	Non-ritual	Ballad	БК	-	?	-				-		-					-
